"ID","game_date","team_abb_home","team_abb_away","pts_home","fgm_home","fga_home","fg_pct_home","fg3m_home","fg3a_home","fg3_pct_home","ftm_home","fta_home","ft_pct_home","dreb_home","oreb_home","reb_home","ast_home","stl_home","blk_home","tov_home","pf_home","pts_2nd_chance_home","pts_in_paint_home","fgm_away","fga_away","fg_pct_away","fg3m_away","fg3a_away","fg3_pct_away","ftm_away","fta_away","oreb_away","dreb_away","reb_away","ast_away","stl_away","blk_away","tov_away","pf_away","pts_away","pts_2nd_chance_away","ft_pct_away","pts_paint_away","wl_home","game_id"
"[411826,659807845]","","PHX","GSW",130,44,86,0.512,21,40,0.525,21,25,0.525,39,8,47,33,5,8,16,22,,,42,92,0.84,18,42,0.429,17,17,6,34,40,30,5,3,17,23,119,,0.429,,"w",11269
"[411826,659807859]","","POR","BKN",107,36,93,0.387,13,36,0.361,22,27,0.361,31,8,39,22,9,5,10,22,,,40,79,0.815,11,29,0.379,18,23,5,42,47,32,4,5,17,24,109,,0.379,,"l",11270
"[411826,659807875]","","SAC","SAS",130,48,83,0.578,12,30,0.4,22,24,0.4,31,6,37,28,7,1,12,15,,,46,84,0.917,11,26,0.423,9,12,7,25,32,29,8,6,19,22,112,,0.423,,"w",11271
"[411826,659807887]","","LAC","DET",96,33,81,0.40700000000000003,11,30,0.36700000000000005,19,24,0.36700000000000005,41,10,51,17,1,1,18,21,,,33,88,0.792,6,31,0.19399999999999998,19,24,10,33,43,15,9,7,13,26,91,,0.19399999999999998,,"w",11272
"[411826,659807891]","","WAS","MIA",107,41,96,0.42700000000000005,15,46,0.326,10,14,0.326,46,8,54,33,6,4,16,25,,,35,98,0.7140000000000001,11,43,0.256,25,32,10,43,53,23,6,4,10,15,106,,0.256,,"w",11273
"[411826,659807896]","","CLE","CHA",132,49,92,0.5329999999999999,8,28,0.28600000000000003,26,32,0.28600000000000003,43,8,51,25,7,8,20,25,,,44,110,0.813,14,44,0.318,20,24,17,35,52,24,11,6,15,33,122,,0.318,,"w",11274
"[411826,659807902]","","PHI","MIL",110,40,78,0.513,13,28,0.46399999999999997,17,26,0.46399999999999997,35,6,41,28,5,5,18,18,,,41,90,0.654,12,36,0.33299999999999996,8,21,8,34,42,22,8,7,13,18,102,,0.33299999999999996,,"w",11275
"[411826,659807907]","","CHI","ORL",107,41,89,0.461,5,21,0.23800000000000002,20,25,0.23800000000000002,33,13,46,27,6,6,11,19,,,38,77,0.8,12,28,0.429,20,22,6,35,41,25,4,7,16,25,108,,0.429,,"l",11276
"[411826,659807910]","","HOU","IND",91,29,86,0.337,6,28,0.214,27,32,0.214,35,14,49,15,8,4,17,24,,,33,82,0.8440000000000001,12,41,0.293,21,27,12,33,45,25,8,10,15,26,99,,0.293,,"l",11277
"[411826,659807919]","","MEM","OKC",121,39,93,0.419,14,39,0.359,29,40,0.359,40,17,57,26,4,7,11,13,,,45,96,0.725,11,34,0.324,9,11,8,35,43,34,5,9,11,28,110,,0.324,,"w",11278
"[411826,659807921]","","DAL","DEN",127,46,77,0.597,13,32,0.406,22,28,0.406,38,6,44,29,5,3,10,19,,,38,90,0.7859999999999999,10,30,0.33299999999999996,13,18,13,23,36,24,4,1,13,20,99,,0.33299999999999996,,"w",11279
"[411826,659807924]","","NOP","BOS",109,43,87,0.494,13,35,0.371,10,13,0.371,30,7,37,24,13,3,13,18,,,41,85,0.769,20,46,0.435,15,17,11,35,46,28,6,3,17,13,117,,0.435,,"l",11280
"[411826,659807934]","","UTA","PHX",134,51,91,0.56,16,31,0.516,16,24,0.516,25,11,36,32,6,3,17,28,,,49,94,0.667,9,30,0.3,26,28,12,30,42,29,7,6,14,25,133,,0.3,,"w",11281
